Name,Profile_URL,Designation,Bio,Research_Areas,Publications,Google_Scholar,ORCID,Scopus
Dr. Amit Mishra,https://mitwpu.edu.in/faculty/amit-mishra,Associate Professor,"Dr. Amit, an accomplished academician with over 20 years of experience in India and overseas, has a proven track record in university settings. Proficient in Department Administration, Computer Science, Software Engineering, Databases, Management, Networking and Organizational Development he holds a PhD degree. Currently, he is associated with Dr. Vishwanath Karad MIT-WPU in Pune, India, following over 17 years of academic service abroad. His research focuses on Computer Science, Machine Learning, Software Engineering, and Web Development, reflecting his expertise in these areas. Dr. Amit is an active member of the Computer Science Teacher Association (CSTA) and the International Association of Engineers (IAENG). Moreover, he contributes significantly to academia as an Editor for esteemed journals and a reviewer for various conferences. Beyond his professional achievements, Dr. Amit stands out as a dedicated and experienced educator, driven by a passion for teaching and a proven ability to motivate students to excel. He excels in crafting captivating lesson plans, integrating technology, and employing innovative teaching methodologies to instil a culture of learning among students. Research Area : Computer Science, Software Engineering, AI, ML Publications List : 1.Neuro Connect : Navigating the Theoretical Landscape of Brain-Internet Integration and Ethical Considerations 2.Comparative Analysis of SVM Kernels for DDOS Attack Detection in SDN 3.Convergence of Blockchain, AI and IoT for Effective Monitoring and Securing Smart City Infrastructure 4.An In-depth Analysis and Performance of Existing Techniques for Ethereum Smart Contract Vulnerability Detection https://journal.esrgroups.org/jes/article/view/7160 LinkedIn Link : https://www.linkedin.com/in/dramitmishra/ https://scholar.google.com/citations?hl=en&user=8oM9RLQAAAAJ&sortby=pubdate&view_op=list_works&gmla=AFix5MYDeM1dG-YoXoFjJwPh-maj6EWkGiICF2WwtCw5ltpRuif5wxhim2y_LYsxdqGDYIP6DsSp5sAdc3UJpHpe Other : https://mitwpu.irins.org/profile/507495#other_information_panel",,,Google Scholar Link :,https://orcid.org/0000-0002-1540-5284,https://www.scopus.com/authid/detail.uri?authorId=56925944800
CMA Aniruddh Gupta,https://mitwpu.edu.in/faculty/aniruddh-gupta,Assistant Professor,"Aniruddha Gupta is a highly qualified professional with a diverse academic background, holding degrees and certifications including B.Com., F.C.M.A. (All India CMA Merit Holder), M.B.A. (Finance), LL.M., M.A. (Psychology), PGDFM, LL.B., C.S. Executive, and DIM, and is currently pursuing a Ph.D. in Law. Motivational Strategist, Law Mentor, Cost Accountant, Life Coach, Career Consultant, Educationist, Social Activist and Thinker. He is a Visionary, Team Leader & Chairman of Profound Bharti Educational & Welfare Society for several projects of Central Government & State Government Projects (Funded And Non Funded) like National Digital Literacy Mission (NDLM), Pradhan Mantri Kaushal Vikas Yojana (PMKVY), National Skills Development Corporation of India (NSDC), STAR/Non STAR (NSDC), Plumbing Training/Projects for Other Backward Classes (NBCFDC), Manpower Recruitment & Training for Media Centres in Simhastha-16, CSR Activities for different Corporates etc. He has launched his second online Learning application with top educators of India on Google play store - Profound Mentors. He is elected as Chairman of The Institute of Cost Accountants of India (Indore Dewas Chapter). He is a Visionary and Chief Academic Head (Honorary) of Profound Mentors Private Limited (A Transformation towards Profound Bharat) having a Vision to build the inner strength of every individual through personalized mentoring. The Company was Inaugurated by Hon’ble Dr. Mohan Yadav, Chief Minister MP (That Time Cabinet Minister Higher Education Minister MP), Hon’ble Smt. Jayshree Kiyawat, Commissioner Lok Shikshan MP and delegates around the corners of the world.",,,,,
Dr. Mahesh Vasantrao Kulkarni,https://mitwpu.edu.in/faculty/mahesh-vasantrao-kulkarni,Assistant Professor,"Dr. Mahesh V. Kulkarni is a postgraduate in Mechanical (Design) Engineering and holds a doctorate in Mechanical Engineering from Savitribai Phule Pune University. Currently, he works as an Assistant Professor in the School of Mechanical Engineering at Dr. Vishwanath Karad MIT World Peace University in Pune, India, with 24 years of experience. He has authored more than 26 peer-reviewed journal papers and conference proceedings and received a research funding of Rs.1,90,000/- from BCUD-Savitribai Phule Pune University in 2014. Dr. Kulkarni's research interests focus on acoustics, noise control and its applications, vibrations, and mechanical system design.","Acoustics and Noise Control, Vibrations, Mechanical System design.","1) Mahesh V Kulkarni, Dr. Ravindra B Ingle, “Validation of set up for experimental analysis of reactive muffler for the determination of transmission loss: Part 1”, Noise & Vibration Worldwide., Vol 49(6) pp.237-240, 2018. 2) Mahesh V Kulkarni, Dr. Ravindra B Ingle, “Attenuation analysis and acoustic pressure levels for double expansion chamber reactive muffler: Part 2”, Noise & Vibration Worldwide, Vol 49(6) pp.241-245, 2018. 3) Parag S. Khanzode, Mahesh V. Kulkarni, “Acoustic Analysis And Optimization Of Double Expansion Chamber Reactive Muffler For Maximum Transmission”, International Journal Of Scientific & Technology Research, Vol 8(9),pp.2351-2355,2019. 4) Mahesh V Kulkarni, Dr. Ravindra B Ingle, “Acoustic Analysis And Optimization Of Double Expansion Chamber Reactive Muffler using Taguchi Method” Journal of Seybold Report, Vol 15(8),pp 1844-1855,August 2020. 5) Tushar Sonkule1, Suyash Dhadve1, Akshay Shahane1, Yash Malpani1, Mahesh Kulkarni , “Design And Analysis Of Reactive Muffler For Enhancement In Transmission Loss ”, International Journal of Research and Analytical Reviews ,Vol 8(2) pp.870-876,(2021). 6) Mahesh V Kulkarni, Dr. Ravindra B Ingle, “Effect of Extended Inlet and Outlet Lengths on Transmission Loss of Double Expansion Chamber Reactive Muffler” International Journal of Vehicle Structures & Systems, Vol 14(2),pp 135-137,(2022) 7) Abhishek Patil, Parth Salke, Omkar Sangrulkar,Mehul Mitkari,Mahesh Kulkarni, “ Reactive Adaptive Cooling System for CVT of All Terrain Vehicles with Wireless Data Acquisition System ”, Proceedings of the IEEE ,2023 International Conference for Advancement in Technology (ICONAT),pp.1-5,(2023).   https://scholar.google.co.in/citations?hl=en&user=sUgf9aEAAAAJ",Google Scholar Link,https://orcid.org/0000-0002-9142-4495,https://www.scopus.com/authid/detail.uri?authorId=57202996731
Ms. Aparna Ashok Kamble,https://mitwpu.edu.in/faculty/aparna-ashok-kamble,Assistant Professor,"Prof. Aparna Kamble holds a BE degree from Shivaji University Kolhapur and an M.E degree from Savitribai Phule Pune University, Maharashtra, India in 2004 and 2012 respectively. Currently serving as an Assistant Professor in the School of Computer Engineering & Technology at Dr. Vishwanath Karad, MIT World Peace University, Pune, Maharashtra, India, with over 16 years of teaching experience. Prof. Kamble is also pursuing a PhD degree at Dr. Vishwanath Karad MIT World Peace University, Pune, Maharashtra, India. Her research interests revolve around Wireless Sensor Networks and Distributed Systems.","CN,DC,HPC,WSN,STQA","""Performance study and critical review on energy aware routing protocols in Mobile sink based WSNs"" ""Selection of Cluster Head Techniques in Wireless Sensor Network: A Review”  https://www.researchgate.net/profile/Aparna_Kamble",Google Scholar Link,https://orcid.org/0000-0002-7771-8630,https://www.scopus.com/authid/detail.uri?authorId=57225937139
Mrs. Shubhangi Rajesh Shekokar,https://mitwpu.edu.in/faculty/shubhangi-rajesh-shekokar,Assistant Professor,"Qualification : B.E. Civil, M. Tech -Geotechnical Engineering, Ph. D. (Civil Engineering) Subjects taught : Geotechnical Engineering, Foundation Engineering, Architectural Planning and Design of Building, Soft Skills, Basic Civil and Environmental Engineering, Estimation and Costing, Valuation, Slope stabilisation Techniques. Profile Summary : LM-IGS, LM-IPHE, LM- ISTE, Exam Coordinator Member- Stationary Committee (Civil) Research Paper 1. S S Malkhede and Y R M Rao, ""Sorption of Cu (II) Ions by Adsorption using Orange Peel”, Journal of Physics: Conference Series, DOI 10.1088/1742-6596/1913/1/012090 2. ""Saurabh Kalane, Shubhangi Shekokar, Sandeep Sathe, Rohit Salgude (2024) Sustainable use of steel slag as coarse aggregate and its influence on mechanical, durability properties, and microstructure of concrete Research Article Published: 30 May 2024, Volume 9, article number 97."" 3. S.S. Malkhede and Y.R.M Rao (2021) Sorption of Cu (II) Ions on Orange Peel, Indian Journal of Environmental Protection, Vol. 41, Issue 1. pp 58-65. 4. Shubhangi S. Malkhede and Dr. Y. R. M. Rao. ""A Review on Removal of Metal Ion using low cost Adsorbent"", International Journal of Research in Engineering, Science and Technologies (IJRESTs), ISSN: 2395-6453, Vol-1, No-8, Dec.2015 5. S. S. Malkhede and Y.R.M Rao (2021) Sorption of Copper ion by Adsorption using Orange peel. 6. S. S. Malkhede and Y. R. M. Rao, Biosorption Behavior of ground nuthusk on removal of copper (II) from aqueous solution Patents : 1 Indian Patent (published)",,,,,"Prof. Shubhangi Shekokar is currently an Assistant Professor in the Department of Civil Engineering at Dr. Vishwanath Karad MIT World Peace University, Pune. She received her B.E. in Civil Engineering from Government College of Engineering, Amravati in 2004 and her M. Tech in Geotechnical Engineering from College of Engineering Pune (COEP) in 2010. Presently, she has completed Ph.D. in Environmental Engineering from SGBAU, Amravati University under the guidance of Dr. Y.R.M. Rao. She is a life member of the Indian geotechnical Society (IGS), Institute of Public Health Engineers (IPHE) and the Indian Society of Technical Education (ISTE). She has been teaching at the institute since August 2008 and has experience teaching various subjects like BCE, Survey, Soil Mechanics, Foundation Engineering, Building Design and Drawing, Estimation and Costing, Valuation and Slope Stabilization Techniques. Dr. Shekokar has published 5 research papers in Scopus Indexed Journals, 2 in National Journals, and 6 in International Conferences."
Dr. Shailendra Jagdish Naik,https://mitwpu.edu.in/faculty/shailendra-jagdish-naik,Associate Professor,"Area of Specialization Petroleum production operations and engineering, production optimization, Surface production facilities and engineering Potential Area of Foreign Collaboration Petroleum production operations and engineering, Well completion and workover operations, Artificial Lift Techniques Education Qualifications : Ph.D. from Punjab Technical University, Jalandhar.",,,,,
Dr. Vandana Aryan Mooss,https://mitwpu.edu.in/faculty/vandana-aryan-mooss,Assistant Professor,"Dr. Vandana A. Mooss is an Assistant professor at Department of Chemistry, MIT World Peace University with 8 years of research and 3 years of teaching experience. She is involved in teaching various course at the Department of chemistry such as physical chemistry, inorganic chemistry, polymer structure property relationship, biodegradable polymers, speciality polymers, adhesives and sealants etc. Her research interest includes polymers, conducting polymers, bio-based polymers, nanocomposites, anticorrosion coatings, antifouling coatings, supercapacitor electrodes, and packaging etc. She is also a PhD supervisor at the department. Apart from teaching and research, she is also actively involved in numerous administrative roles. Currently, she is the program co-ordinator for MSc Chemistry (Industrial Polymer Chemistry) program at Department of Chemistry, MIT WPU.","Conducting polymers, nanocomposites, protective coatings, biodegradable polymers, packaging applications etc.","1. V. A. Mooss, V. Vijayakumar, S. Kurungot, A. A. Athawale, Interconnected polyaniline nanostructures: Enhanced interface for better supercapacitance retention, Polymer, 212 (2021) 123169. (Impact factor- 4.43). 2. V. A. Mooss, F. Hamza, S. S. Zinjarde, A. A. Athawale, Polyurethane films modified with polyaniline-zinc oxide nanocomposites for biofouling mitigation, Chemical Engineering Journal, 359 (2019) 1400-1410. (Impact factor- 16.7) 3. V. A. Mooss, A. A. Bhopale, P. P. Deshpande, A. A. Athawale, Graphene oxide modified polyaniline pigment for epoxy based anti-corrosion coatings, Chemical Papers, 71 (8), 1515-(Impact factor -2.2). 4. V. A. Mooss, A. A. Athawale, Polyaniline-graphene oxide: Influence of non-conducting graphene oxide on the conductivity and oxidation-reduction mechanism of polyaniline, Journal al of Polymer Science Part A: Polymer Chemistry, 54 (2016) 3778-3786. (Impact factor- 3.1). 5. P. Deshpande, A. A. Bhopale, V. A. Mooss, A. A. Athawale, Conducting polyaniline/nano-zinc phosphate composite as a pigment for corrosion protection of low-carbon steel, Chemical Papers, 71(2017)189-197. (Impact factor-2.2). 6. P. P. Deshpande, A. A. Bhopale, V. A. Mooss, A. A. Athawale, Evaluation of corrosion protection performance of conducting polyaniline/nano zinc phosphate coated low carbon steel by impedance spectroscopy, UPB Scientific Bulletin B, 79 (2017)273-283. (Impact factor-1.3). Research Grants Was instrumental for various research grants during PhD 1) NRB, 2) BCUD etc",Google Scholar link :https://scholar.google.com/citations?user=sRiD7RwAAAAJ&hl=en,ORCID link :https://orcid.org/0000-0002-5499-9097,Scopus link :https://www.scopus.com/authid/detail.uri?authorId=57191201665
Dr. Anjali Rajesh Askhedkar,https://mitwpu.edu.in/faculty/anjali-rajesh-askhedkar,Assistant Professor,"Prof. Anjali Askhedkar is an Assistant Professor in Electronics and Telecommunication Engineering at MIT World Peace University (MITWPU), Pune since 2004. She holds a master's degree in Microwave Engineering from College of Engineering, Pune and is currently pursuing her Ph.D. in Electronics and Communication Engineering from MIT-WPU Research Centre, Pune. She has been actively involved in research projects with organizations like Aashay Measurements Pvt. Ltd. and The Pranic Healing Centre, Pune. She has attended international workshops on LoRa technology and is a member of IETE and ISTE. She has also handled major administrative responsibilities at MITWPU.","Wireless communication, LPWAN, IoT","An innovative wireless design for a car infotainment system S Gupte, AR Askhedkar 2018 Second International Conference on Intelligent Computing and Control … Design and Finite Element Analysis of IoT based Smart Helmet NV Joshi, SP Joshi, MS Jojare, NS Joshi, AR Askhedkar 2020 IEEE International IOT, Electronics and Mechatronics Conference … TV white spaces for low-power wide-area networks A Askhedkar, B Chaudhari, M Zennaro, E Pietrosemoli LPWAN Technologies for IoT and M2M Applications, 167-179 Design of a Microstrip Patch Antenna as a Moisture Sensor PP Gundewar, VU Patel, TS Chaware, AR Askhedkar, RS Raje, ... 2019 IEEE Pune Section International Conference (PuneCon), 1-5 IoT based Smart Vest and Helmet for Defence Sector NV Joshi, SP Joshi, MS Jojare, AR Askhedkar 2021 International Conference on Communication information and Computing … LiFi and Voice Based Indoor Navigation System for Visually Impaired People MR Botre, AR Askhedkar 2019 IEEE Pune Section International Conference (PuneCon), 1-4 Hardware and software platforms for low-power wide-area networks A Askhedkar, B Chaudhari, M Zennaro LPWAN Technologies for IoT and M2M Applications, 397-407  https://scholar.google.com/citations?user=00-S49wAAAAJ&hl=en",Google Scholar Link,https://orcid.org/0000-0002-6781-4098,https://www.scopus.com/authid/detail.uri?authorId=57217204067
Dr. Madhumita Mukherjee,https://mitwpu.edu.in/faculty/madhumita-mukherjee,Associate Professor,"Dr. Madhumita Mukherjee is currently serving as an Associate Professor at Dr. Vishwanath Karad MIT World Peace University, Pune in School of Business (SOB). Previously, she held the esteemed position of Director-Principal at the University School of Tourism, Airlines, and Hotel Management, Rayat Bahra University, Chandigarh, for Three and half years. With a Ph.D. in Tourism Management and certification from the International Air Transport Association (Canada), Dr. Mukherjee boasts over 22 years of comprehensive experience in academia and the corporate sector. Her professional journey includes associations with renowned universities such as Jamia Millia Islamia (Delhi), Lovely Professional University (Punjab), and Amity University (Kolkata), and aviation sector like Air Sahara. A visionary leader, Dr. Mukherjee is dedicated to fostering student growth by understanding their interests and mental frameworks, helping them achieve their academic and professional aspirations. Her innovative and student-centric approach continues to make a profound impact in her field, positioning her as a respected thought leader in academic as well as corporate sector. Her area of specialisation is Aviation, Tourism, Hospitality and Event Management.",,,,,"Dr. Mukherjee has made significant contributions to the fields of tourism, airlines, and hotel management through her publications in prestigious national and international journals including Scopus indexed Journals, as well as authorship of books. She has actively participated in numerous international conferences and summits, earning accolades and recognition, including awards at platforms like Edu Summit and NEP forums."
Dr. Sudhir Pandurang Patil,https://mitwpu.edu.in/faculty/sudhir-pandurang-patil,Professor,"Professor in Civil Engineering, National tour, Industry-Institute, Discipline Coordinator, MIT WPU, Pune. LMISTE, LMSEA Qualification : B.E. Civil, M.E. Structures, Ph.D.-Structures Subjects taught : Advance design of steel structures, Advanced design of concrete structures, Steel structures, Prestressed concrete, Applied Mechanics, RCC Design, Strength of Materials, Structural Analysis Profile Summary : Professor in Civil Engineering, National tour, Industry-Institute, Discipline Coordinator, MIT WPU, Pune. LMISTE, LMSEA Research Paper 1. Sudhir P. Patil (2017), “Parametric study of fibre reinforced concrete members subjected to shear bending and torsion”, Proceeding and Journal of Steel Structures and Construction and International Conference of 3rd Euro Congress on Steel and Structural Engineering, Vol.3, Issue 3, ISSN: 2472-0437, 16-17 November 2017, London, UK.pp.30. 2. Sudhir P. Patil, Dr. Keshav K. Sangle (2017), “Shear and Flexural Behavior of Pre-stressed and Non-Pre stressed Plain and SFRC Concrete Beams”, Engineering Sciences-Journal of King Saud University, Elsevier Publication, Vol.29, pp.321-328. 3. Sudhir P. Patil, Dr. Keshav K. Sangle (2016), “Tests of Steel Fibre Reinforced Concrete Beams under Predominant Torsion”, Journal of Building Engineering, Elsevier Publication, Vol. 6 (2016), pp.157-162.",,,,,
Dr. Akanksha Jaiswal,https://mitwpu.edu.in/faculty/akanksha-jaiswal,Assistant Professor,"She is a faculty member specializing in Operations and Supply Chain Management. She holds a Ph.D. from the University of Allahabad and an MBA from IIIT Allahabad, bringing a strong academic foundation to her work. With 2 years of corporate experience and 6 years of teaching in the field, she combines industry insights with academic rigor. Her areas of interest include process optimization, logistics management, and strategic supply chain design, with a focus on connecting theoretical knowledge to practical business challenges.",,,,,
Dr. Akilbasha A,https://mitwpu.edu.in/faculty/akilbasha-a,Assistant Professor,"Dr. A. Akilbasha is an Assistant Professor in the Department of Mathematics and Statistics at Dr. Vishwanath Karad MIT World Peace University, Pune. He earned his Bachelor’s and Master’s degrees from Thiruvalluvar University, Vellore, and completed his M.Phil. and Ph.D. at Vellore Institute of Technology (Deemed to be University), Vellore. During his Ph.D., he gained substantial academic and research experience, serving as a Teaching cum Research Assistant for 3 months, a Junior Research Fellow for 2 years, and a Senior Research Fellow for 3 years at VIT, as well as an Assistant Professor for 1 year at B.S. Abdur Rahman Crescent Institute of Science and Technology(Deemed to be University). Since September 2022, Dr. Akilbasha has been a part of MIT World Peace University, contributing to both teaching and research with over 8 years of experience. He has published 22 research articles (as of January 2025) in reputed national and international peer- reviewed journals, including Q1 to Q4 categories, and actively serves as an editor and reviewer for several academic journals. Dr. Akilbasha is also a recipient of the prestigious UGC Maulana Azad National Fellowship for Minority Students in 2016, highlighting his commitment to academic excellence and impactful research. Area of Research Optimization Techniques, Decision-Making Problems, Logistics & Supply Chain Management, Fuzzy & Rough Set Theory and Fluid Dynamics. List of Research Article Publications in Reputed International Peer- Reviewed Journals Tarishi Baranwal and A. Akilbasha, “Heuristic Approach for Optimizing a Sustainable Transportation Planning”, Introduction to Computational and Applied Mathematics, Research India Publication, New Delhi, India, pp. 209- 216, 2023. [Book Chapter] https://scholar.google.co.in/citations?user=Ebq28Z8AAAAJ&hl=en Research Gate : https://www.researchgate.net/profile/A_Akilbasha Web of Science ID : https://www.webofscience.com/wos/author/record/ADQ-8826-2022 Linkedin ID : https://www.linkedin.com/in/dr-a-akilbasha-7bb30b93 Vidwan-ID : https://vidwan.inflibnet.ac.in/profile/528580",,,Google Scholar :,https://orcid.org/0000-0001-6914-0667,https://www.scopus.com/authid/detail.uri?authorId=56940684100
Mr. Surendra Hawgirao Barhatte,https://mitwpu.edu.in/faculty/surendra-hawgirao-barhatte,Assistant Professor,"It seems like Dr. Barhatte has had a long and varied career at MIT-WPU. He began as a lecturer in 2007, bringing with him a decade of industry experience. Over the years, he has taken on several roles within the Mechanical Engineering department, including academic coordinator, senior supervisor, exam coordinator, and industrial visits in-charge. He has also served as the CEEP coordinator at the institute level and has been a part of the Grievance Cell. Currently, Dr. Barhatte holds the position of Assistant Professor in Mechanical Engineering and serves as the faculty advisor for Team-Prokarters. He is also a member of the Admissions committee of the department. It seems like he has been actively involved in various aspects of the institute's functioning and has contributed significantly to its growth and development over the years.  Grants  BCUD grant of Rs. 1,90,000/- for research project on heat pipes  Areas of Research Heat Transfer, Heat Exchanger",,,,,
Dr. Mahesh Balwant Sonawane,https://mitwpu.edu.in/faculty/mahesh-balwant-sonawane,Assistant Professor,"Dr. Mahesh B. Sonawane has been working as an Assistant Professor in the Department of Civil Engineering at Dr. Vishwanath Karad MIT World Peace University, Pune, since July 2017. He received his Ph.D. from the prestigious Veermata Jijabai Technological Institute (VJTI), Mumbai, in March 2021 for his work ""GIS-based building energy simulation studies"". He obtained his BE (Civil Eng.) and M.E. (Civil- Building Science & Technology) degrees from North Maharashtra University, Jalgaon, in 1998 and 2008, respectively. Dr. Sonawane has been associated with the Maharashtra Institute of Technology (MIT), Pune, since December 2006 and has been teaching various subjects such as Building Design & Drawing, Green building & Infrastructure, Smart City Planning & Development, Building Control Procedure & Legislation. He had presented research papers in reputable international conferences in India and abroad. In 2016, he presented a research paper at the International Conference held in Kuala Lumpur, Malaysia. He has published 8 research papers in international journals and presented 8 research papers in international conferences. His research interests include energy simulation of buildings, building physics, and GIS-based energy simulation studies. He has been granted three international patents, two from the Government of Australia and one from the Government of South Africa; two patents are published by the Government of India. In addition, Dr. Sonawane has served as the chairman of various subjects at SP Pune University and MITWPU Pune and worked as an LIC committee member of Pune University. He holds a life membership of Indian Society for Technical Education (ISTE) New Delhi. Qualification : B E (Civil), M.E. (Civil - Building Science & Technology), Ph.D. (Civil Engineering) Subjects taught : Building Planning & CAD, Green Building & Infrastructure, Smart City Planning & Technology, Infrastructure Development & Construction Technology. Profile Summary : 26.5 years of Teaching experience. ERP, Hackathon & RIDE Coordinator. LM-ISTE.","Building Energy Simulation, Building energy analysis, GIS applications.","1. Mahesh B Sonawane and Sumedh Y Mhaske (2018), ""Predicting daylight illuminance in urban city using multiple regression techniques"", Journal of Engineering Science and Technology, Vol. 13, No.7, pg. 2181-2194, ISSN: 1823-4690 2. Mahesh B Sonawane and Sumedh Y Mhaske (2016), “Daylighting Estimation and Analysis in Residential Apartment Building: GIS based approach”, IOP Conf. Series: Earth and Environmental Science, 012024, doi:10.1088/1755-1315/37/1/012024, Kuala Lumpur, Malaysia. 3. Mahesh B. Sonawane, S. K. Dubey and S. V. Deodhar (2013), “An Analytical Approach to Demand-Capacity Method”, International Journal of Advanced Technology in Civil Engineering, Vol - 1, Issue – 4, pages -264-270. Patents 1. Two Indian Patent published, Three International Patents Granted (1- A method for assessing climate based on illuminance level of a place. 2. Water collection & notification intelligent management technology). 3. Development of special mould for preparation of lightweight concrete panel by using E-waste (2023). (Application no - 202424067739), Granted on 24/04/2024 by the Government of South Africa.  2. Mahesh B Sonawane and Sumedh Y Mhaske (2020), “Assessment of daylight illuminance intensities and its estimation for moderate climate zone of India”, Official Journal of the Patent office, Govt. of India, Part 1, No. 39, pg. 84. 3. Amey Satish Darange and Mahesh B Sonawane (2019), “Planning and Scheduling of Low Income Housing Scheme Project by Line of Balancing Method’, International Journal of Innovative Science and Research Technology, Vol.4, Issue 11, ISSN: 2456-2165. 6. Mahesh B. Sonawane, Shailendra K. Dubey and Sharad V. Deodhar (2013), “ An Analytical Approach to Demand-Capacity Method”, International Journal of Advanced Technology in Civil Engineering. Vol - 2, Issue – 1, pg. 17-23. ISSN: 2231 5721. Scoups Link",,https://orcid.org/0000-0002-5497-5810,https://www.scopus.com/authid/detail.uri?authorId=57190949218
Mrs. Sheetal Kiran Pawar,https://mitwpu.edu.in/faculty/sheetal-kiran-pawar,,"Prof. Sheetal Pawar is an Assistant Professor in the Department of Polytechnic at MIT World Peace University, Pune, India. With a Bachelor's degree in Electronics Engineering and a Master's in E&TC, Microwave, Prof. Pawar has six years of teaching experience and four years of industrial experience. She specializes in teaching subjects such as EEN, BEL, ACO, ETE, MAN, CTQ, CSP, ICT, CPR, MCO, and AVE. She is a dedicated educator who is passionate about helping her students develop the skills they need to succeed in their chosen fields.",Communication,On the design of Nano-arm fractal antenna for UWB wireless applications Design of Dual Band Antenna Using Fractal Concept FOOTSTEP POWER GENERATION USING PIEZO ELECTRIC SENSOR Clean in Place System using PLC Google  scolar link : https://scholar.google.com/citations?view_op=list_works&hl=en&hl=en&user=SG3H-TwAAAAJ#d=gs_hdr_drw&t=1681300077804,,https://orcid.org/my-orcid?orcid=0009-0008-8121-8672,https://www.scopus.com/dashboard.uri?origin=&zone=TopNavBar
Dr. Shantini Aniruddha Bokil,https://mitwpu.edu.in/faculty/shantini-aniruddha-bokil,,"Dr. Shantini Bokil is a fine professional, responsible in preparing and delivering lectures in classroom discussions. She has completed a doctorate degree in the area of “Environmental and Sustainable Engineering and has formed lesson strategies, presented creative presentation material to students, responding to students learning needs and evaluating students’ progress. She has a sound background in engineering and the ability to conduct research and feasibility studies in fields of interest; has a touch base with other engineering professionals to update on latest principles that govern the field that will enhance the learning experience of students. She has worked as Student’s Counsellor and a women grievance cell member. She delivers lectures on “Sharing Happiness” for women and “Science and Spirituality.” A great value addition to team engagements, she also has contributed greatly to the success of Aarohan, a National Level Cultural fest at MIT-WPU. As an avid educator, she is extremely passionate about guiding and facilitating the younger generation for their overall development and is driven use her cognitive assets for the sole benefit of her students. Qualification : B.E. CIVIL, M.E. Construction Management, PhD Civil Engineering Subjects taught : DHS; ADS; SURVEY-I; CESM. Profile Summary : 2 years industrial experience; 20 years teaching experience",Environmental and Sustainable Engineering M.E.Construction Management,"1. Rai, R. K., and Bokil, S. A., “Removal of dyes from textile effluent using bamboo waste as low-cost adsorbent”, Journal of Public Health Engineering, July 2016, Vol.XXXXIV, No. 2, pp. 25-31. 2. Rai, R. K., and Bokil, S. A., “Preparation and characterization of activated carbon from bamboo by chemical activation”, Journal of Catalyst Catalysis, 2016, Vol. 3, No. 1, pp. 1-6. 3. Bokil, S. A., and Rai, R. K.,” Advanced treatments for sustainable textile wastewater management: kinetic studies Indian Water Works Association, Kolkata Centre, 47thAnnual Convention on Sustainable Technology Solutions for Water Management, 2015 1. Shantini A Bokil, Niraj S Topare, Removal of Methylene Blue Using Activated Carbon Prepared from Waste Fruit (Orange) Peels, Smart Technologies for Energy, Environment and Sustainable Development, Vol 1., 2022, Springer Proceedings in Energy. Springer, Singapore, page 177-187 https://doi.org/10.1007/978-981-16-6875-3_15. Google  scolar link : https://scholar.google.com/schhp?hl=en",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-3278-2989&authorId=57221438757&origin=AuthorProfile&orcId=0000-0002-3278-,"5. Bichave, M.S., Kature, A.Y., Koranne, S.V., Shinde, R.S., Gongle, A.S., Choudhari, V.P., Topare, N.S., Raut-Jadhav, S., Bokil, S.A. Nano-metal oxides-activated carbons for dyes removal: A review (2022) Materials Today: Proceedings. DOI: 10.1016/j.matpr.2022.08.451.Source: Scopus"
